maximum free flight for a fixed direction phi = sqrt(2); theta = (1 + sqrt(5))/2; v = [cos(phi)*sin(theta), sin(phi)*sin(theta), cos(theta)] (3D)

100 randomized averaged

0.09000000000000001 6.92542603044312035099e+01
0.08 1.13347910760330523428e+02
0.07 1.40351962733041646325e+02
0.060000000000000005 1.43709306898571943761e+02
0.05 1.93788138764277100376e+02
0.04000000000000001 2.39629615855574181338e+03
0.03 6.89050525150268159225e+03
0.020000000000000004 1.00687233933020317833e+04
0.010000000000000009 1.40542539213300942604e+04
0.009000000000000001 1.4100150259863680267e+04
0.008 1.55905692114747275374e+04
0.007 2.48734982269520187863e+04
0.006 2.91431243852768456151e+04
0.005 2.96885400802922681187e+04
0.004 4.15139377811094381343e+04
0.003 1.0196592502123504196e+05
0.002 1.82388206414025575043e+05
0.0010000000000000009 5.46412427292551871744e+05
0.0009 9.49147391187669351609e+05
0.0008 1.0779831418025835228e+06
0.0007000000000000001 1.23332606842363862222e+06
0.0006000000000000001 1.19378252663423355875e+06
0.0005 1.47563537245386198663e+06
0.0004000000000000001 4.00728297338423776068e+06

10 randomized averaged

0.0009 6.08887705666677413831e+05
0.0008 7.63095266240763232133e+05
0.0007000000000000001 8.56022067166788039344e+05
0.0006000000000000001 8.6970391113190363518e+05
0.0005 1.68043159579612310824e+06
0.0004000000000000001 1.85811920626363183715e+06
0.00030000000000000003 1.57166867677349470187e+07
0.00019999999999999998 9.75061231933091736399e+08
0.00010000000000000005 1.83689239494469074416e+09
9.0e-5 2.21089850552148670261e+09
8.0e-5 2.19836196792808687268e+09
7.000000000000001e-5 2.08509535488753680873e+09
6.0e-5 2.33930394074188964674e+09
5.0e-5 2.28520940701865645079e+09
4.0e-5 2.08949748003854659456e+09
3.000000000000001e-5 2.6659496416239096995e+09
1.9999999999999998e-5 2.53554612416515186126e+09
9.999999999999999e-6 4.80978213919121137913e+09

