Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000002082e-03 with 64 bits of precision,1.92322541727529101109e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,8.99999999999999975367e-04 with 64 bits of precision,1.92322542073039898241e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,8.00000000000000038337e-04 with 64 bits of precision,2.79974684582339933769e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,7.00000000000000101308e-04 with 64 bits of precision,2.7997468468731748078e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,6.00000000000000055858e-04 with 64 bits of precision,2.79974684794129907999e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,5.00000000000000010408e-04 with 64 bits of precision,2.79974684904096376158e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,4.00000000000000073379e-04 with 64 bits of precision,2.79974685020364656452e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,3.00000000000000027929e-04 with 64 bits of precision,2.79974685153874449526e+05 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.99999999999999982479e-04 with 64 bits of precision,2.27256593095905402297e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.0000000000000004545e-04 with 64 bits of precision,3.08843756462126976894e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000004792e-04 with 64 bits of precision,3.08843756462126976894e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,9.00000000000000056682e-05 with 64 bits of precision,3.08843756462236642601e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,8.00000000000000065442e-05 with 64 bits of precision,3.08843756462348927926e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,7.00000000000000074203e-05 with 64 bits of precision,3.08843756462465495351e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,6.00000000000000015201e-05 with 64 bits of precision,3.08843756462589980129e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,5.00000000000000023961e-05 with 64 bits of precision,3.08843756462732103228e+07 with 64 bits of precision]
