0.09000000000000001 4.66436184310503777588e+01 13.72681136133027; avg. exectime = 0.003056240805999997
0.09500000000000001 4.65972992564347263354e+01 13.836523382448915; avg. exectime = 0.0025504243560000007
0.08 1.69410595170081484384e+02 25.104507563976362; avg. exectime = 0.003719903286
0.085 8.61651200709958689297e+01 15.922604804867815; avg. exectime = 0.003862155502000001
0.07 2.81165778023778829248e+02 52.18725041965294; avg. exectime = 0.010978933502000002
0.07500000000000001 2.44879585623729591162e+02 40.84146143876689; avg. exectime = 0.0028590955680000037
0.060000000000000005 5.14409084379492921701e+02 108.54701282544545; avg. exectime = 0.009633667932000005
0.065 3.20491900293645481462e+02 71.79614807619404; avg. exectime = 0.004386195633999995
0.05 6.13221464183350285282e+02 166.6922573575915; avg. exectime = 0.016602713209999995
0.055 5.67229371967287358702e+02 144.4231437616051; avg. exectime = 0.011573413530000007
0.04000000000000001 8.36470923564800398209e+02 237.19497614383218; avg. exectime = 0.018845566820000013
0.045000000000000005 7.88034710151349696738e+02 217.78662901586785; avg. exectime = 0.01654717584599999
0.03 1.07883251414447627503e+03 290.0429371882633; avg. exectime = 0.02122067467400001
0.034999999999999996 8.80321940206027565623e+02 267.3553660843636; avg. exectime = 0.01901864557799999
0.020000000000000004 1.15525887298520838842e+03 341.5314596358984; avg. exectime = 0.02385922761199998
0.025000000000000005 1.15117464326478288095e+03 326.69979727696926; avg. exectime = 0.023104538118000017
0.010000000000000009 1.31976519246846279296e+04 3589.5819211136136; avg. exectime = 0.09024725492999998
0.01500000000000001 3.75605874525416202547e+03 797.5991406316183; avg. exectime = 0.031376099185999984
0.009000000000000001 1.43335512225500938603e+04 4085.665408355794; avg. exectime = 0.10664017630399998
0.009500000000000001 1.40794495654370673483e+04 3767.6331735532567; avg. exectime = 0.09803589480600002
0.008 1.99603198262564103551e+04 4447.254939157167; avg. exectime = 0.10764279154999996
0.0085 1.5647621771079487754e+04 4241.839409309738; avg. exectime = 0.11107951348600001
0.007 2.39576152568064358217e+04 6206.222630214962; avg. exectime = 0.13066569294599994
0.0075 2.3305388467413938713e+04 5348.99691247337; avg. exectime = 0.12756390396400002
0.006 2.51493684308914460228e+04 6569.055730578125; avg. exectime = 0.139417539238
0.006500000000000001 2.48437771678917966405e+04 6013.932884062252; avg. exectime = 0.13476102147999988
0.005 4.16455888937916417376e+04 8440.179019184561; avg. exectime = 0.16400899121999996
0.0055 2.49889137474458981849e+04 6762.144048505055; avg. exectime = 0.14821305370800011
0.004 4.28435248346160741306e+04 11618.36100750238; avg. exectime = 0.19271344036800003
0.0045000000000000005 4.17781599789719474067e+04 10211.821211673567; avg. exectime = 0.17756002770400012
0.003 1.13829896436367692452e+05 13901.18613680806; avg. exectime = 0.2095606568360001
0.0035 4.28246776659241042431e+04 12499.75911532266; avg. exectime = 0.20668693869199994
0.002 2.37937395548384921085e+05 55940.38491967936; avg. exectime = 0.40813358800400035
0.0025 1.55022746398540772859e+05 29400.857443401554; avg. exectime = 0.2564631692599999
0.0010000000000000009 2.48083849662130096181e+06 687455.1193341407; avg. exectime = 2.198138424296001
0.001500000000000001 7.8744161210848310111e+05 128374.88761735703; avg. exectime = 0.7281498523519994
0.0009 2.91705697743275708308e+06 713830.0967307757; avg. exectime = 2.1840318459100003
0.00095 2.73579732831068807013e+06 829938.7663890894; avg. exectime = 2.77665912088
0.0008 3.10813185055272250452e+06 933299.3700746472; avg. exectime = 2.5770661721499994
0.0008500000000000001 2.75848406249600049432e+06 856270.4912712045; avg. exectime = 2.918289894660001
0.0007000000000000001 3.34982960811921558411e+06 1.0721348163110283e6; avg. exectime = 2.98795913029
0.0007500000000000001 3.34595980760556900077e+06 1.0471047209556223e6; avg. exectime = 2.8593195165400003
0.0006000000000000001 3.95778087930978842724e+06 1.2396986810532361e6; avg. exectime = 3.53141305352
0.0006500000000000001 3.72188455436077119271e+06 1.219771781336457e6; avg. exectime = 3.858841459139999
0.0005 4.54853017663757889159e+06 1.3851561869666327e6; avg. exectime = 3.8967647094799993
0.00055 4.24575776516685922388e+06 1.3316876427003883e6; avg. exectime = 4.51465994555
0.0004000000000000001 5.45158670479151233712e+06 1.5720352225952884e6; avg. exectime = 3.9606302846799997
0.0004500000000000001 5.02449102003548338325e+06 1.4878215864854204e6; avg. exectime = 3.869087817230002
0.00030000000000000003 9.81400689359349160623e+06 1.8903974835339454e6; avg. exectime = 4.3663303001400005
0.00035000000000000005 9.74703875180649066806e+06 1.7598035015325018e6; avg. exectime = 4.311062145799998
0.00019999999999999998 1.56509303491937304743e+07 3.649861035107392e6; avg. exectime = 5.479995528319998
0.00025 1.02185497492021750595e+07 2.015694905869912e6; avg. exectime = 4.1520247154700005
0.00010000000000000005 3.88341692433256982222e+07 7.875695835733385e6; avg. exectime = 7.42040203055
0.00015000000000000004 1.63836691981426352304e+07 4.490660118362048e6; avg. exectime = 7.002501109769997

